title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
The Passion of the Christ,612,984,2040%,20.4,30,371,60.60%,241,39.40%,"612,054,506",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=370,https://en.wikipedia.org/wiki/The_Passion_of_the_Christ,
The Perfect Storm,329,580,274%,2.7,120,183,55.60%,146,44.40%,"328,718,434",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=661,https://en.wikipedia.org/wiki/The_Perfect_Storm_(film),
The Phantom Menace,1027,"1,861",893%,8.9,115,475,46.20%,553,53.80%,"1,027,082,707",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=245,https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace,
The Polar Express,315,507,185%,1.9,170,189,59.90%,126,40.10%,"315,249,768",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=686,https://en.wikipedia.org/wiki/The_Polar_Express_(film),
The Proposal,317,448,793%,7.9,40,164,51.70%,153,48.30%,"317,375,031",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=683,https://en.wikipedia.org/wiki/The_Proposal_(2009_film),
The Revenant,533,679,395%,3.9,135,184,34.50%,349,65.50%,"532,950,503",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=409,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),
The Rise of Skywalker,1074,"1,270",391%,3.9,275,515,48.00%,559,52.00%,"1,074,149,279",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=234,"https://en.wikipedia.org/wiki/Star_Wars:_The_Rise_of_Skywalker#:~:text=With%20an%20estimated%20budget%20of,United%20States%20on%20December%2020.",
The Rock,335,646,447%,4.5,75,134,40.00%,201,60.00%,"335,062,621",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=647,"https://en.wikipedia.org/wiki/The_Rock_(film)#:~:text=Produced%20on%20a%20%2475%20million,U.S.%20film%20worldwide%20that%20year.",
The Secret Life of Pets,894,"1,124",1192%,11.9,75,368,41.20%,526,58.80%,"894,328,469",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=271,https://www.imdb.com/title/tt2709768/,
The Secret Life of Pets 2,431,510,575%,5.7,75,159,36.90%,272,63.10%,"431,058,056",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=492,"https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets#:~:text=Reception-,Box%20office,production%20budget%20of%20%2475%20million.",
The Secrets of Dumbledore,405,429,203%,2,200,96,23.70%,309,76.30%,"405,161,334",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=523,"https://en.wikipedia.org/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore#:~:text=The%20film%20received%20mixed%20reviews,of%20the%20Wizarding%20World%20franchise.",
The Simpsons Movie,536,789,715%,7.2,75,183,34.10%,353,65.90%,"536,414,293",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=408,https://en.wikipedia.org/wiki/The_Simpsons_Movie,
The Sixth Sense,673,"1,219",1682%,16.8,40,294,43.60%,379,56.40%,"672,806,432",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=343,https://en.wikipedia.org/wiki/The_Sixth_Sense,
The Smurfs,564,762,512%,5.1,110,143,25.30%,421,74.70%,"563,749,323",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=389,https://en.wikipedia.org/wiki/The_Smurfs_(film),
The Smurfs 2,348,449,331%,3.3,105,71,20.40%,277,79.60%,"347,545,360",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=628,https://en.wikipedia.org/wiki/The_Smurfs_2,
The SpongeBob Movie: Sponge Out of Water,325,414,439%,4.4,74,163,50.10%,162,49.90%,"325,186,032",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=670,"https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water#:~:text=The%20SpongeBob%20Movie%3A%20Sponge%20Out%20of%20Water%20grossed%20%24162.9%20million,a%20budget%20of%20%2474%20million.",
The Voyage of the Dawn Treader,416,571,268%,2.7,155,104,25.10%,311,74.90%,"415,686,217",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=507,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,
The Wolf of Wall Street,407,526,407%,4.1,100,117,28.70%,290,71.30%,"406,878,233",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=522,https://www.imdb.com/title/tt0993846/,
The Wolverine,415,536,314%,3.1,132,133,32.00%,282,68.00%,"414,828,246",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=509,https://en.wikipedia.org/wiki/The_Wolverine_(film),
The World Is Not Enough,362,656,268%,2.7,135,127,35.10%,235,64.90%,"361,832,400",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=594,https://en.wikipedia.org/wiki/The_World_Is_Not_Enough,
There's Something About Mary,370,681,1608%,16.1,23,176,47.70%,193,52.30%,"369,884,651",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=577,https://en.wikipedia.org/wiki/There%27s_Something_About_Mary,
Thor,449,607,300%,3,150,181,40.30%,268,59.70%,"449,326,618",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=474,https://en.wikipedia.org/wiki/Thor_(film),
Thor: Love and Thunder,761,806,304%,3,250,343,45.10%,418,54.90%,"760,928,081",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=310,"https://en.wikipedia.org/wiki/Thor:_Love_and_Thunder#:~:text=The%20film's%20production%20budget%20of,Phase%20Four%20of%20the%20MCU.",
Thor: Ragnarok,854,"1,047",474%,4.7,180,315,36.90%,539,63.10%,"853,983,879",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=283,https://en.wikipedia.org/wiki/Thor:_Ragnarok,
Thor: The Dark World,645,834,379%,3.8,170,206,32.00%,438,68.00%,"644,783,140",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=355,https://en.wikipedia.org/wiki/Thor:_The_Dark_World,
Titanic,2202,"4,120",1101%,11,200,659,30.00%,"1,542",70.00%,"2,201,647,264",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=202,"https://www.cbc.ca/radio/q/blog/titanic-anniversary-20-fascinating-facts-about-the-epic-blockbuster-that-almost-sank-1.4381455#:~:text=With%20a%20budget%20of%20%24200,Avatar%20surpassed%20it%20in%202010.",
Tomorrow Never Dies,333,623,303%,3,110,125,37.60%,208,62.40%,"333,011,068",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=653,https://en.wikipedia.org/wiki/Tomorrow_Never_Dies,
Top Gun,357,971,2382%,23.8,15,180,50.40%,177,49.60%,"357,288,178",1986,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=603,https://www.google.com/search?q=top+gun+budget&oq=top+gun+budget&aqs=chrome..69i57j0i512l5j0i22i30l4.2621j0j9&sourceid=chrome&ie=UTF-8,
Top Gun: Maverick,1487,"1,574",875%,8.7,170,717,48.20%,770,51.80%,"1,486,657,763",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=210,https://www.imdb.com/title/tt1745960/,
Toy Story,394,781,1315%,13.1,30,223,56.60%,171,43.40%,"394,436,586",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=537,https://en.wikipedia.org/wiki/Toy_Story,
Toy Story 2,497,901,553%,5.5,90,246,49.40%,252,50.60%,"497,375,381",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=429,https://en.wikipedia.org/wiki/Toy_Story_2,
Toy Story 3,1067,"1,466",533%,5.3,200,415,38.90%,652,61.10%,"1,066,970,811",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=236,https://en.wikipedia.org/wiki/Toy_Story_3,
Toy Story 4,1073,"1,270",537%,5.4,200,434,40.40%,639,59.60%,"1,073,394,593",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=235,https://en.wikipedia.org/wiki/Toy_Story_4,
Transformers,710,"1,044",355%,3.5,200,319,45.00%,390,55.00%,"709,709,780",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=331,https://en.wikipedia.org/wiki/Transformers_(film),
Transformers: Age of Extinction,1104,"1,405",526%,5.3,210,245,22.20%,859,77.80%,"1,104,054,072",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=232,"https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction#:~:text=Box%20office-,Worldwide,a%20budget%20of%20%24210%20million.",
Transformers: Dark of the Moon,1124,"1,519",642%,6.4,175,352,31.40%,771,68.60%,"1,123,794,079",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=228,https://en.wikipedia.org/wiki/Captain_Marvel_(film),
Transformers: Revenge of the Fallen,836,"1,179",418%,4.2,200,402,48.10%,434,51.90%,"836,303,693",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=286,https://en.wikipedia.org/wiki/Transformers:_Revenge_of_the_Fallen,
Transformers: The Last Knight,605,742,279%,2.8,217,130,21.50%,475,78.50%,"605,425,157",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=373,https://www.imdb.com/title/tt3371366/,
Trolls,347,436,278%,2.8,125,154,44.40%,193,55.60%,"347,182,886",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=631,"https://en.wikipedia.org/wiki/Trolls_(film)#:~:text=Trolls%20grossed%20%24153.7%20million%20in,a%20budget%20of%20%24125%20million.",
Tron: Legacy,400,550,235%,2.4,170,172,43.00%,228,57.00%,"400,063,852",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=533,"https://en.wikipedia.org/wiki/Tron:_Legacy#:~:text=The%20film%20grossed%20%24400%20million,described%20as%20a%20cult%20film.",
Troy,497,800,269%,2.7,185,133,26.80%,364,73.20%,"497,409,852",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=428,https://en.wikipedia.org/wiki/Troy_(film),
True Lies,379,772,316%,3.2,120,146,38.60%,233,61.40%,"378,882,411",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=559,"https://en.wikipedia.org/wiki/True_Lies#:~:text=Costing%20%24100%E2%80%93120%20million%20to,over%20a%20seven%2Dmonth%20schedule.",
Twilight,408,576,1104%,11,37,194,47.50%,214,52.50%,"408,430,415",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=518,https://independent-magazine.org/2021/12/06/from-indie-to-blockbuster-the-evolution-of-the-twilight-saga/,
Twilight: Breaking Dawn - Pt 1,712,963,561%,5.6,127,281,39.50%,431,60.50%,"712,205,856",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=328,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%E2%80%93_Part_1,
Twilight: Breaking Dawn - Pt 2,849,"1,115",624%,6.2,136,292,34.40%,557,65.60%,"848,853,382",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=284,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%E2%80%93_Part_2,
Twilight: Eclipse,699,960,1027%,10.3,68,301,43.00%,398,57.00%,"698,509,825",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=335,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse,
Twilight: New Moon,711,"1,003",1422%,14.2,50,298,41.90%,413,58.10%,"711,025,481",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=329,https://en.wikipedia.org/wiki/The_Twilight_Saga:_New_Moon,
Twister,495,954,538%,5.4,92,242,48.90%,253,51.10%,"494,580,615",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=431,https://en.wikipedia.org/wiki/Twister_(1996_film),
Uncharted,402,425,335%,3.3,120,149,37.00%,253,63.00%,"401,748,820",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=532,https://en.wikipedia.org/wiki/Uncharted_(film),
Up,735,"1,036",420%,4.2,175,293,39.90%,442,60.10%,"735,099,102",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=323,https://www.the-numbers.com/movie/Up#tab=summary,
Venom,856,"1,028",738%,7.4,116,214,24.90%,643,75.10%,"856,085,151",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=282,https://en.wikipedia.org/wiki/Venom_(2018_film),
Venom: Let There Be Carnage,507,577,461%,4.6,110,214,42.10%,293,57.90%,"506,863,592",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=424,https://www.google.com/search?q=venom+let+there+be+carnage+budget&ei=a_yaY4qUPLWFhbIP7ISnkAI&ved=0ahUKEwjK9Zqxuvv7AhW1QkEAHWzCCSIQ4dUDCA8&uact=5&oq=venom+let+there+be+carnage+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCAAQgAQQRhD7ATIGCAAQFhAeMgUIABCGAzIFCAAQhgMyBQgAEIYDOgoIABBHENYEELADOgcIABCwAxBDOg0IABDkAhDWBBCwAxgBOg8ILhDUAhDIAxCwAxBDGAI6BwguEEMQ6gQ6BAgAEEM6CgguEMcBENEDEEM6BAguEEM6BwguENQCEEM6FAguEIAEELEDEIMBEMcBENEDENQCOgsIABCABBCxAxCDAToSCC4QQxDqBBDcBBDeBBDfBBgDOgoIABCxAxCDARBDOggILhDUAhCRAjoICC4QgAQQ1AI6CAguELEDEIMBOgoILhCxAxBDEOoEOgsILhCABBCxAxCDAToVCC4QsQMQQxDqBBDcBBDeBBDfBBgDOgUILhCABDoOCC4QrwEQxwEQsQMQgAQ6CAguELEDEIAEOg4ILhCABBCxAxDHARDRAzoICC4QgAQQsQM6EAguENQCELEDEIAEEAoQ6gQ6CgguELEDEIAEEAo6CwguEIAEEMcBEK8BOgoILhCABBCxAxAKOgoIABCABBCxAxAKOgUIABCABDoNCC4Q1AIQsQMQgAQQCjobCC4Q1AIQsQMQgAQQChDqBBDcBBDeBBDgBBgDOgsILhCxAxCRAhDqBDoHCC4QsQMQQzoWCC4QsQMQkQIQ6gQQ3AQQ3gQQ4AQYAzoKCC4QgAQQChDqBDoHCAAQgAQQCjoVCC4QgAQQChDqBBDcBBDeBBDgBBgDOgwILhDqAhC0AhBDGAQ6DAgAEOoCELQCEEMYBDoPCC4Q1AIQ6gIQtAIQQxgEOg0IABCPARDqAhC0AhgFOhAILhCPARDUAhDqAhC0AhgFOgsILhDUAhCRAhDqBDoFCC4QkQI6DgguEMcBELEDENEDEIAEOhYILhDUAhCRAhDqBBDcBBDeBBDgBBgDOgsIABCxAxCDARCRAjoFCAAQkQI6EgguEEMQ6gQQ3AQQ3gQQ4AQYAzoOCC4QsQMQ1AIQkQIQ6gQ6CAguELEDEJECOhkILhCxAxDUAhCRAhDqBBDcBBDeBBDgBBgDOg4ILhDUAhCxAxCRAhDqBDoLCC4QsQMQ1AIQkQI6GQguENQCELEDEJECEOoEENwEEN4EEOAEGAM6CwguENQCELEDEJECOggIABCABBCxAzoICC4QgAQQ6gQ6EwguEIAEEOoEENwEEN4EEOAEGAM6CAgAEBYQHhAKSgQIQRgASgQIRhgBUKAHWOpBYO9DaApwAXgAgAFoiAHHFZIBBDM2LjSYAQCgAQGwARTIARLAAQHaAQYIARABGAnaAQYIAhABGAjaAQYIAxABGBTaAQQIBBgH2gEGCAUQARgK&sclient=gws-wiz-serp,
WALL·E,521,735,290%,2.9,180,224,42.90%,298,57.10%,"521,311,890",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=419,"https://en.wikipedia.org/wiki/WALL-E#:~:text=The%20film%20cost%20%24180%20million,States%20on%20June%2027%2C%202008.",
Wanted,342,483,457%,4.6,75,135,39.30%,208,60.70%,"342,463,063",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=637,https://en.wikipedia.org/wiki/Wanted_(2008_film),
War for the Planet of the Apes,491,602,323%,3.2,152,147,29.90%,344,70.10%,"490,719,763",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=435,"https://en.wikipedia.org/wiki/War_for_the_Planet_of_the_Apes#:~:text=War%20for%20the%20Planet%20of%20the%20Apes%20grossed%20%24146.9%20million,budget%20of%20%24150%E2%80%93152%20million.",
War of the Worlds,604,943,457%,4.6,132,234,38.80%,370,61.20%,"603,873,119",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=375,https://en.wikipedia.org/wiki/War_of_the_Worlds_(2005_film),
Warcraft,439,552,274%,2.7,160,47,10.80%,392,89.20%,"439,048,914",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=485,"https://en.wikipedia.org/wiki/Warcraft_(film)#:~:text=Given%20its%20%24160%20million%20production,in%20order%20to%20break%2Deven.",
What Women Want,374,660,534%,5.3,70,183,48.90%,191,51.10%,"374,111,707",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=566,https://en.wikipedia.org/wiki/What_Women_Want,
Who Framed Roger Rabbit,330,849,660%,6.6,50,156,47.40%,173,52.60%,"329,803,958",1988,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=659,https://en.wikipedia.org/wiki/Who_Framed_Roger_Rabbit,
Wonder Woman,823,"1,009",411%,4.1,200,413,50.20%,410,49.80%,"822,854,286",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=288,https://www.google.com/search?q=wonder+woman+budget&oq=wonder+woman+budget&aqs=chrome..69i57j0i512j0i22i30l8.2184j0j4&sourceid=chrome&ie=UTF-8,
World War Z,540,699,284%,2.8,190,203,37.50%,338,62.50%,"540,455,876",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=405,"https://en.wikipedia.org/wiki/World_War_Z_(film)#:~:text=Regardless%2C%20the%20film%20was%20a,zombie%20film%20of%20all%20time.",
Wreck-It Ralph,471,619,286%,2.9,165,189,40.20%,282,59.80%,"471,222,889",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=453,https://en.wikipedia.org/wiki/Wreck-It_Ralph,
X-Men Origins: Wolverine,373,526,249%,2.5,150,180,48.20%,193,51.80%,"373,062,864",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=570,https://en.wikipedia.org/wiki/X-Men_Origins:_Wolverine,
X-Men: Apocalypse,544,684,306%,3.1,178,155,28.60%,388,71.40%,"543,934,105",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=400,"https://en.wikipedia.org/wiki/X-Men:_Apocalypse#:~:text=X%2DMen%3A%20Apocalypse%20grossed%20%24155.4,a%20budget%20of%20%24178%20million.",
X-Men: Days of Future Past,746,950,364%,3.6,205,234,31.40%,512,68.60%,"746,045,700",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=319,https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,
X-Men: First Class,353,477,220%,2.2,160,146,41.50%,206,58.50%,"352,616,690",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=614,https://www.imdb.com/title/tt1270798/,
X-Men: The Last Stand,460,691,219%,2.2,210,234,50.90%,226,49.10%,"460,435,291",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=465,https://en.wikipedia.org/wiki/X-Men:_The_Last_Stand,
X2: X-Men United,408,668,371%,3.7,110,215,52.70%,193,47.30%,"407,711,549",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=520,https://www.google.com/search?q=x-men+united+budget&oq=x-men+united+budget&aqs=chrome..69i57j0i22i30i625j0i390l5.4951j0j4&sourceid=chrome&ie=UTF-8,
xXx: Return of Xander Cage,346,424,407%,4.1,85,45,13.00%,301,87.00%,"346,118,277",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=632,"https://en.wikipedia.org/wiki/XXX:_Return_of_Xander_Cage#:~:text=Reception-,Box%20office,production%20budget%20of%20%2485%20million.",
Zootopia,1043,"1,310",695%,7,150,341,32.70%,701,67.30%,"1,042,533,689",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=242,"https://en.wikipedia.org/wiki/Zootopia#:~:text=Zootopia%20grossed%20%24341.3%20million%20in,a%20budget%20of%20%24150%20million.",
